Grupo	Seleccion	Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
F	Belgium	12	Simon Mignolet	Simon Mignolet	Goalkeeper	34	Club Brugge KV	€5.00m
F	Belgium	4	Wout Faes	Wout Faes	Centre-Back	24	Leicester City	€20.00m
F	Belgium	2	Toby Alderweireld	Toby Alderweireld	Centre-Back	33	Royal Antwerp FC	€4.00m
F	Belgium	21	Timothy Castagne	Timothy Castagne	Right-Back	26	Leicester City	€28.00m
F	Belgium	18	Amadou Onana	Amadou Onana	Defensive Midfield	21	Everton FC	€35.00m
F	Belgium	6	Axel Witsel	Axel Witsel	Defensive Midfield	33	Atlético de Madrid	€5.00m
F	Belgium	7	Kevin De Bruyne	Kevin De Bruyne	Attacking Midfield	31	Manchester City	€80.00m
F	Belgium	20	Hans Vanaken	Hans Vanaken	Attacking Midfield	30	Club Brugge KV	€15.00m
F	Belgium	17	Leandro Trossard	Leandro Trossard	Left Winger	27	Brighton &amp; Hove Albion	€30.00m
F	Belgium	10	Eden Hazard	Eden Hazard	Left Winger	31	Real Madrid	€7.50m
F	Belgium	9	Romelu Lukaku	Romelu Lukaku	Centre-Forward	29	Inter Milan	€55.00m
F	Belgium	23	Michy Batshuayi	Michy Batshuayi	Centre-Forward	29	Fenerbahce	€10.00m
F	Belgium	1	Thibaut Courtois	Thibaut Courtois	Goalkeeper	30	Real Madrid	€60.00m
F	Belgium	13	Koen Casteels	Koen Casteels	Goalkeeper	30	VfL Wolfsburg	€8.00m
F	Belgium	3	Arthur Theate	Arthur Theate	Centre-Back	22	Stade Rennais FC	€20.00m
F	Belgium	26	Zeno Debast	Zeno Debast	Centre-Back	19	RSC Anderlecht	€8.00m
F	Belgium	5	Jan Vertonghen	Jan Vertonghen	Centre-Back	35	RSC Anderlecht	€1.80m
F	Belgium	15	Thomas Meunier	Thomas Meunier	Right-Back	31	Borussia Dortmund	€6.50m
F	Belgium	19	Leander Dendoncker	Leander Dendoncker	Defensive Midfield	27	Aston Villa	€22.00m
F	Belgium	8	Youri Tielemans	Youri Tielemans	Central Midfield	25	Leicester City	€40.00m
F	Belgium	22	Charles De Ketelaere	Charles De Ketelaere	Attacking Midfield	21	AC Milan	€30.00m
F	Belgium	11	Yannick Carrasco	Yannick Carrasco	Left Winger	29	Atlético de Madrid	€30.00m
F	Belgium	16	Thorgan Hazard	Thorgan Hazard	Left Winger	29	Borussia Dortmund	€9.00m
F	Belgium	25	Jérémy Doku	Jérémy Doku	Right Winger	20	Stade Rennais FC	€18.00m
F	Belgium	24	Loïs Openda	Loïs Openda	Centre-Forward	22	RC Lens	€12.00m
F	Belgium	14	Dries Mertens	Dries Mertens	Centre-Forward	35	Galatasaray	€3.40m
F	Canada	1	Dayne St. Clair	Dayne St. Clair	Goalkeeper	25	Minnesota United FC	€1.50m
F	Canada	16	James Pantemis	James Pantemis	Goalkeeper	25	CF Montréal	€400k
F	Canada	26	Joel Waterman	Joel Waterman	Centre-Back	26	CF Montréal	€2.00m
F	Canada	5	Steven Vitória	Steven Vitória	Centre-Back	35	GD Chaves	€100k
F	Canada	3	Sam Adekugbe	Sam Adekugbe	Left-Back	27	Hatayspor	€2.00m
F	Canada	22	Richie Laryea	Richie Laryea	Right-Back	27	Toronto FC	€2.50m
F	Canada	8	Liam Fraser	Liam Fraser	Defensive Midfield	24	KMSK Deinze	€900k
F	Canada	7	Stephen Eustaquio	Stephen Eustaquio	Central Midfield	25	FC Porto	€8.00m
F	Canada	21	Jonathan Osorio	Jonathan Osorio	Central Midfield	30	Toronto FC	€3.50m
F	Canada	24	David Wotherspoon	David Wotherspoon	Attacking Midfield	32	St. Johnstone FC	€600k
F	Canada	10	Junior Hoilett	Junior Hoilett	Left Winger	32	Reading FC	€800k
F	Canada	20	Jonathan David	Jonathan David	Centre-Forward	22	LOSC Lille	€45.00m
F	Canada	12	Iké Ugbo	Iké Ugbo	Centre-Forward	24	ESTAC Troyes	€4.00m
F	Canada	1	Dayne St. Clair	Dayne St. Clair	Goalkeeper	25	Minnesota United FC	€1.50m
F	Canada	18	Milan Borjan	Milan Borjan	Goalkeeper	35	Red Star Belgrade	€1.20m
F	Canada	4	Kamal Miller	Kamal Miller	Centre-Back	25	CF Montréal	€4.00m
F	Canada	25	Derek Cornelius	Derek Cornelius	Centre-Back	24	Panetolikos GFS	€800k
F	Canada	19	Alphonso Davies	Alphonso Davies	Left-Back	22	Bayern Munich	€70.00m
F	Canada	2	Alistair Johnston	Alistair Johnston	Right-Back	24	CF Montréal	€6.00m
F	Canada	6	Samuel Piette	Samuel Piette	Defensive Midfield	28	CF Montréal	€2.50m
F	Canada	13	Atiba Hutchinson	Atiba Hutchinson	Defensive Midfield	39	Besiktas JK	€200k
F	Canada	15	Ismaël Koné	Ismaël Koné	Central Midfield	20	CF Montréal	€6.00m
F	Canada	14	Mark-Anthony Kaye	Mark-Anthony Kaye	Central Midfield	27	Toronto FC	€3.00m
F	Canada	23	Liam Millar	Liam Millar	Left Winger	23	FC Basel 1893	€2.30m
F	Canada	11	Tajon Buchanan	Tajon Buchanan	Right Winger	23	Club Brugge KV	€12.00m
F	Canada	17	Cyle Larin	Cyle Larin	Centre-Forward	27	Club Brugge KV	€6.00m
F	Canada	9	Lucas Cavallini	Lucas Cavallini	Centre-Forward	29	Vancouver Whitecaps FC	€2.00m
F	Croatia	1	Dominik Livakovic	Dominik Livakovic	Goalkeeper	27	GNK Dinamo Zagreb	€8.50m
F	Croatia	12	Ivo Grbic	Ivo Grbic	Goalkeeper	26	Atlético de Madrid	€3.50m
F	Croatia	24	Josip Sutalo	Josip Sutalo	Centre-Back	22	GNK Dinamo Zagreb	€18.00m
F	Croatia	6	Dejan Lovren	Dejan Lovren	Centre-Back	33	Zenit St. Petersburg	€3.50m
F	Croatia	19	Borna Sosa	Borna Sosa	Left-Back	24	VfB Stuttgart	€20.00m
F	Croatia	2	Josip Stanisic	Josip Stanisic	Right-Back	22	Bayern Munich	€8.00m
F	Croatia	11	Marcelo Brozovic	Marcelo Brozovic	Defensive Midfield	30	Inter Milan	€35.00m
F	Croatia	8	Mateo Kovacic	Mateo Kovacic	Central Midfield	28	Chelsea FC	€40.00m
F	Croatia	10	Luka Modric	Luka Modric	Central Midfield	37	Real Madrid	€10.00m
F	Croatia	15	Mario Pasalic	Mario Pasalic	Attacking Midfield	27	Atalanta BC	€25.00m
F	Croatia	13	Nikola Vlasic	Nikola Vlasic	Attacking Midfield	25	Torino FC	€20.00m
F	Croatia	9	Andrej Kramaric	Andrej Kramaric	Centre-Forward	31	TSG 1899 Hoffenheim	€9.00m
F	Croatia	16	Bruno Petkovic	Bruno Petkovic	Centre-Forward	28	GNK Dinamo Zagreb	€6.00m
F	Croatia	1	Dominik Livakovic	Dominik Livakovic	Goalkeeper	27	GNK Dinamo Zagreb	€8.50m
F	Croatia	23	Ivica Ivusic	Ivica Ivusic	Goalkeeper	27	NK Osijek	€5.00m
F	Croatia	20	Josko Gvardiol	Josko Gvardiol	Centre-Back	20	RB Leipzig	€60.00m
F	Croatia	5	Martin Erlic	Martin Erlic	Centre-Back	24	US Sassuolo	€5.50m
F	Croatia	21	Domagoj Vida	Domagoj Vida	Centre-Back	33	AEK Athens	€2.00m
F	Croatia	3	Borna Barisic	Borna Barisic	Left-Back	30	Rangers FC	€6.50m
F	Croatia	22	Josip Juranovic	Josip Juranovic	Right-Back	27	Celtic FC	€6.50m
F	Croatia	26	Kristijan Jakic	Kristijan Jakic	Defensive Midfield	25	Eintracht Frankfurt	€9.00m
F	Croatia	25	Luka Sucic	Luka Sucic	Central Midfield	20	Red Bull Salzburg	€20.00m
F	Croatia	4	Ivan Perisic	Ivan Perisic	Left Midfield	33	Tottenham Hotspur	€10.00m
F	Croatia	7	Lovro Majer	Lovro Majer	Attacking Midfield	24	Stade Rennais FC	€22.00m
F	Croatia	18	Mislav Orsic	Mislav Orsic	Left Winger	29	GNK Dinamo Zagreb	€10.00m
F	Croatia	14	Marko Livaja	Marko Livaja	Centre-Forward	29	HNK Hajduk Split	€8.00m
F	Croatia	17	Ante Budimir	Ante Budimir	Centre-Forward	31	CA Osasuna	€6.00m
F	Morocco	1	Bono	Bono	Goalkeeper	31	Sevilla FC	€15.00m
F	Morocco	12	Munir	Munir	Goalkeeper	33	Al-Wehda FC	€1.20m
F	Morocco	6	Romain Saïss	Romain Saïss	Centre-Back	32	Besiktas JK	€6.50m
F	Morocco	18	Jawad El Yamiq	Jawad El Yamiq	Centre-Back	30	Real Valladolid CF	€1.20m
F	Morocco	25	Yahia Attiat-Allah	Yahia Attiat-Allah	Left-Back	27	Wydad Casablanca	€1.50m
F	Morocco	3	Noussair Mazraoui	Noussair Mazraoui	Right-Back	25	Bayern Munich	€25.00m
F	Morocco	26	Yahya Jabrane	Yahya Jabrane	Defensive Midfield	31	Wydad Casablanca	€1.90m
F	Morocco	7	Hakim Ziyech	Hakim Ziyech	Attacking Midfield	29	Chelsea FC	€17.00m
F	Morocco	15	Selim Amallah	Selim Amallah	Attacking Midfield	26	Standard Liège	€4.50m
F	Morocco	11	Abdelhamid Sabiri	Abdelhamid Sabiri	Attacking Midfield	25	UC Sampdoria	€3.00m
F	Morocco	17	Sofiane Boufal	Sofiane Boufal	Left Winger	29	Angers SCO	€8.00m
F	Morocco	14	Zakaria Aboukhlal	Zakaria Aboukhlal	Right Winger	22	FC Toulouse	€3.50m
F	Morocco	9	Abderrazak Hamdallah	Abderrazak Hamdallah	Centre-Forward	31	Al-Ittihad Club (Jeddah)	€3.00m
F	Morocco	1	Bono	Bono	Goalkeeper	31	Sevilla FC	€15.00m
F	Morocco	22	Ahmed Reda Tagnaouti	Ahmed Reda Tagnaouti	Goalkeeper	26	Wydad Casablanca	€1.80m
F	Morocco	5	Nayef Aguerd	Nayef Aguerd	Centre-Back	26	West Ham United	€25.00m
F	Morocco	20	Achraf Dari	Achraf Dari	Centre-Back	23	Stade Brestois 29	€2.50m
F	Morocco	24	Badr Benoun	Badr Benoun	Centre-Back	29	Qatar SC	€1.00m
F	Morocco	2	Achraf Hakimi	Achraf Hakimi	Right-Back	24	Paris Saint-Germain	€65.00m
F	Morocco	4	Sofyan Amrabat	Sofyan Amrabat	Defensive Midfield	26	ACF Fiorentina	€10.00m
F	Morocco	8	Azzedine Ounahi	Azzedine Ounahi	Central Midfield	22	Angers SCO	€3.50m
F	Morocco	13	Ilias Chair	Ilias Chair	Attacking Midfield	25	Queens Park Rangers	€10.00m
F	Morocco	23	Bilal El Khannouss	Bilal El Khannouss	Attacking Midfield	18	KRC Genk	€4.50m
F	Morocco	16	Ez Abde	Ez Abde	Left Winger	20	CA Osasuna	€8.00m
F	Morocco	10	Anass Zaroury	Anass Zaroury	Left Winger	22	Burnley FC	€4.00m
F	Morocco	19	Youssef En-Nesyri	Youssef En-Nesyri	Centre-Forward	25	Sevilla FC	€12.00m
F	Morocco	21	Walid Cheddira	Walid Cheddira	Centre-Forward	24	SSC Bari	€2.50m
G	Switzerland	21	Gregor Kobel	Gregor Kobel	Goalkeeper	24	Borussia Dortmund	€25.00m
G	Switzerland	1	Yann Sommer	Yann Sommer	Goalkeeper	33	Borussia Mönchengladbach	€5.00m
G	Switzerland	5	Manuel Akanji	Manuel Akanji	Centre-Back	27	Manchester City	€30.00m
G	Switzerland	22	Fabian Schär	Fabian Schär	Centre-Back	30	Newcastle United	€10.00m
G	Switzerland	13	Ricardo Rodríguez	Ricardo Rodríguez	Centre-Back	30	Torino FC	€3.50m
G	Switzerland	6	Denis Zakaria	Denis Zakaria	Defensive Midfield	25	Chelsea FC	€20.00m
G	Switzerland	20	Fabian Frei	Fabian Frei	Defensive Midfield	33	FC Basel 1893	€500k
G	Switzerland	15	Djibril Sow	Djibril Sow	Central Midfield	25	Eintracht Frankfurt	€22.00m
G	Switzerland	25	Fabian Rieder	Fabian Rieder	Central Midfield	20	BSC Young Boys	€10.00m
G	Switzerland	2	Edimilson Fernandes	Edimilson Fernandes	Central Midfield	26	1.FSV Mainz 05	€3.00m
G	Switzerland	17	Rubén Vargas	Rubén Vargas	Left Winger	24	FC Augsburg	€6.00m
G	Switzerland	11	Renato Steffen	Renato Steffen	Right Winger	31	FC Lugano	€1.00m
G	Switzerland	7	Breel Embolo	Breel Embolo	Centre-Forward	25	AS Monaco	€20.00m
G	Switzerland	21	Gregor Kobel	Gregor Kobel	Goalkeeper	24	Borussia Dortmund	€25.00m
G	Switzerland	12	Jonas Omlin	Jonas Omlin	Goalkeeper	28	Montpellier HSC	€7.00m
G	Switzerland	24	Philipp Köhn	Philipp Köhn	Goalkeeper	24	Red Bull Salzburg	€4.00m
G	Switzerland	4	Nico Elvedi	Nico Elvedi	Centre-Back	26	Borussia Mönchengladbach	€20.00m
G	Switzerland	18	Eray Cömert	Eray Cömert	Centre-Back	24	Valencia CF	€4.00m
G	Switzerland	3	Silvan Widmer	Silvan Widmer	Right-Back	29	1.FSV Mainz 05	€5.00m
G	Switzerland	26	Ardon Jashari	Ardon Jashari	Defensive Midfield	20	FC Luzern	€2.50m
G	Switzerland	10	Granit Xhaka	Granit Xhaka	Central Midfield	30	Arsenal FC	€28.00m
G	Switzerland	8	Remo Freuler	Remo Freuler	Central Midfield	30	Nottingham Forest	€13.00m
G	Switzerland	14	Michel Aebischer	Michel Aebischer	Central Midfield	25	Bologna FC 1909	€3.50m
G	Switzerland	16	Christian Fassnacht	Christian Fassnacht	Right Midfield	29	BSC Young Boys	€3.00m
G	Switzerland	23	Xherdan Shaqiri	Xherdan Shaqiri	Right Winger	31	Chicago Fire FC	€4.00m
G	Switzerland	19	Noah Okafor	Noah Okafor	Centre-Forward	22	Red Bull Salzburg	€25.00m
G	Switzerland	9	Haris Seferovic	Haris Seferovic	Centre-Forward	30	Galatasaray	€6.00m
G	Cameroon	23	André Onana	André Onana	Goalkeeper	26	Inter Milan	€14.00m
G	Cameroon	1	Simon Ngapandouetnbu	Simon Ngapandouetnbu	Goalkeeper	19	Olympique Marseille	€400k
G	Cameroon	21	Jean-Charles Castelletto	Jean-Charles Castelletto	Centre-Back	27	FC Nantes	€4.00m
G	Cameroon	24	Enzo Ebosse	Enzo Ebosse	Left-Back	23	Udinese Calcio	€4.50m
G	Cameroon	17	Olivier Mbaizo	Olivier Mbaizo	Right-Back	25	Philadelphia Union	€1.50m
G	Cameroon	8	Frank Anguissa	Frank Anguissa	Defensive Midfield	27	SSC Napoli	€38.00m
G	Cameroon	14	Samuel Oum Gouet	Samuel Oum Gouet	Defensive Midfield	24	KV Mechelen	€1.30m
G	Cameroon	22	Olivier Ntcham	Olivier Ntcham	Central Midfield	26	Swansea City	€2.80m
G	Cameroon	12	Karl Toko Ekambi	Karl Toko Ekambi	Left Winger	30	Olympique Lyon	€12.00m
G	Cameroon	6	Nicolas Moumi Ngamaleu	Nicolas Moumi Ngamaleu	Left Winger	28	Dynamo Moscow	€4.00m
G	Cameroon	20	Bryan Mbeumo	Bryan Mbeumo	Right Winger	23	Brentford FC	€28.00m
G	Cameroon	13	Eric Maxim Choupo-Moting	Eric Maxim Choupo-Moting	Centre-Forward	33	Bayern Munich	€6.00m
G	Cameroon	9	Jean-Pierre Nsame	Jean-Pierre Nsame	Centre-Forward	29	BSC Young Boys	€4.00m
G	Cameroon	23	André Onana	André Onana	Goalkeeper	26	Inter Milan	€14.00m
G	Cameroon	16	Devis Epassy	Devis Epassy	Goalkeeper	29	Abha Club	€700k
G	Cameroon	4	Christopher Wooh	Christopher Wooh	Centre-Back	21	Stade Rennais FC	€6.00m
G	Cameroon	3	Nicolas N'Koulou	Nicolas N'Koulou	Centre-Back	32	Aris Thessaloniki	€1.80m
G	Cameroon	25	Nouhou Tolo	Nouhou Tolo	Left-Back	25	Seattle Sounders FC	€3.00m
G	Cameroon	19	Collins Fai	Collins Fai	Right-Back	30	Al-Tai	€1.00m
G	Cameroon	18	Martin Hongla	Martin Hongla	Defensive Midfield	24	Hellas Verona	€3.50m
G	Cameroon	5	Gaël Ondoua	Gaël Ondoua	Defensive Midfield	27	Hannover 96	€800k
G	Cameroon	15	Pierre Kunde	Pierre Kunde	Central Midfield	27	Olympiacos Piraeus	€2.00m
G	Cameroon	7	Georges-Kevin N'Koudou	Georges-Kevin N'Koudou	Left Winger	27	Besiktas JK	€5.50m
G	Cameroon	2	Jerome Ngom Mbekeli	Jerome Ngom Mbekeli	Left Winger	24	Colombe Sportive du Dja et Lobo	€300k
G	Cameroon	11	Christian Bassogog	Christian Bassogog	Right Winger	27	Shanghai Shenhua	€4.50m
G	Cameroon	10	Vincent Aboubakar	Vincent Aboubakar	Centre-Forward	30	Al-Nassr FC	€5.00m
G	Cameroon	26	Souaibou Marou	Souaibou Marou	Centre-Forward	21	Coton Sport FC de Garoua	€400k
G	Serbia	12	Predrag Rajković	Predrag Rajković	Goalkeeper	27	RCD Mallorca	€10.00m
G	Serbia	23	Vanja Milinković-Savić	Vanja Milinković-Savić	Goalkeeper	25	Torino FC	€2.50m
G	Serbia	4	Nikola Milenković	Nikola Milenković	Centre-Back	25	ACF Fiorentina	€20.00m
G	Serbia	5	Miloš Veljković	Miloš Veljković	Centre-Back	27	SV Werder Bremen	€5.00m
G	Serbia	13	Stefan Mitrović	Stefan Mitrović	Centre-Back	32	Getafe CF	€2.00m
G	Serbia	6	Nemanja Maksimović	Nemanja Maksimović	Defensive Midfield	27	Getafe CF	€10.00m
G	Serbia	19	Uroš Račić	Uroš Račić	Defensive Midfield	24	SC Braga	€6.50m
G	Serbia	20	Sergej Milinković-Savić	Sergej Milinković-Savić	Central Midfield	27	SS Lazio	€60.00m
G	Serbia	24	Ivan Ilić	Ivan Ilić	Central Midfield	21	Hellas Verona	€13.00m
G	Serbia	22	Darko Lazović	Darko Lazović	Left Midfield	32	Hellas Verona	€2.50m
G	Serbia	10	Dusan Tadić	Dusan Tadić	Left Winger	33	Ajax Amsterdam	€7.00m
G	Serbia	14	Andrija Zivkovic	Andrija Zivkovic	Right Winger	26	PAOK Thessaloniki	€6.00m
G	Serbia	9	Aleksandar Mitrović	Aleksandar Mitrović	Centre-Forward	28	Fulham FC	€28.00m
G	Serbia	12	Predrag Rajković	Predrag Rajković	Goalkeeper	27	RCD Mallorca	€10.00m
G	Serbia	1	Marko Dmitrović	Marko Dmitrović	Goalkeeper	30	Sevilla FC	€5.00m
G	Serbia	2	Strahinja Pavlovic	Strahinja Pavlovic	Centre-Back	21	Red Bull Salzburg	€20.00m
G	Serbia	3	Strahinja Eraković	Strahinja Eraković	Centre-Back	21	Red Star Belgrade	€7.00m
G	Serbia	15	Srdjan Babic	Srdjan Babic	Centre-Back	26	UD Almería	€3.00m
G	Serbia	25	Filip Mladenovic	Filip Mladenovic	Left-Back	31	Legia Warszawa	€1.50m
G	Serbia	26	Marko Grujić	Marko Grujić	Defensive Midfield	26	FC Porto	€9.00m
G	Serbia	8	Nemanja Gudelj	Nemanja Gudelj	Defensive Midfield	31	Sevilla FC	€4.00m
G	Serbia	16	Saša Lukić	Saša Lukić	Central Midfield	26	Torino FC	€13.00m
G	Serbia	17	Filip Kostić	Filip Kostić	Left Midfield	30	Juventus FC	€24.00m
G	Serbia	21	Filip Djuricic	Filip Djuricic	Attacking Midfield	30	UC Sampdoria	€2.50m
G	Serbia	7	Nemanja Radonjić	Nemanja Radonjić	Left Winger	26	Torino FC	€4.00m
G	Serbia	18	Dušan Vlahović	Dušan Vlahović	Centre-Forward	22	Juventus FC	€80.00m
G	Serbia	11	Luka Jović	Luka Jović	Centre-Forward	24	ACF Fiorentina	€14.00m
G	Brazil	1	Alisson	Alisson	Goalkeeper	30	Liverpool FC	€50.00m
G	Brazil	12	Weverton	Weverton	Goalkeeper	34	Sociedade Esportiva Palmeiras	€3.50m
G	Brazil	14	Éder Militão	Éder Militão	Centre-Back	24	Real Madrid	€60.00m
G	Brazil	3	Thiago Silva	Thiago Silva	Centre-Back	38	Chelsea FC	€2.50m
G	Brazil	6	Alex Sandro	Alex Sandro	Left-Back	31	Juventus FC	€4.50m
G	Brazil	13	Dani Alves	Dani Alves	Right-Back	39	UNAM Pumas	€1.00m
G	Brazil	15	Fabinho	Fabinho	Defensive Midfield	29	Liverpool FC	€55.00m
G	Brazil	8	Fred	Fred	Central Midfield	29	Manchester United	€20.00m
G	Brazil	7	Lucas Paquetá	Lucas Paquetá	Attacking Midfield	25	West Ham United	€45.00m
G	Brazil	10	Neymar	Neymar	Left Winger	30	Paris Saint-Germain	€75.00m
G	Brazil	21	Rodrygo	Rodrygo	Right Winger	21	Real Madrid	€80.00m
G	Brazil	11	Raphinha	Raphinha	Right Winger	25	FC Barcelona	€50.00m
G	Brazil	9	Richarlison	Richarlison	Centre-Forward	25	Tottenham Hotspur	€50.00m
G	Brazil	1	Alisson	Alisson	Goalkeeper	30	Liverpool FC	€50.00m
G	Brazil	23	Ederson	Ederson	Goalkeeper	29	Manchester City	€45.00m
G	Brazil	4	Marquinhos	Marquinhos	Centre-Back	28	Paris Saint-Germain	€70.00m
G	Brazil	24	Bremer	Bremer	Centre-Back	25	Juventus FC	€40.00m
G	Brazil	16	Alex Telles	Alex Telles	Left-Back	29	Sevilla FC	€14.00m
G	Brazil	2	Danilo	Danilo	Right-Back	31	Juventus FC	€12.00m
G	Brazil	17	Bruno Guimarães	Bruno Guimarães	Defensive Midfield	25	Newcastle United	€60.00m
G	Brazil	5	Casemiro	Casemiro	Defensive Midfield	30	Manchester United	€50.00m
G	Brazil	22	Éverton Ribeiro	Éverton Ribeiro	Central Midfield	33	Clube de Regatas do Flamengo	€4.50m
G	Brazil	20	Vinicius Junior	Vinicius Junior	Left Winger	22	Real Madrid	€120.00m
G	Brazil	26	Gabriel Martinelli	Gabriel Martinelli	Left Winger	21	Arsenal FC	€60.00m
G	Brazil	19	Antony	Antony	Right Winger	22	Manchester United	€75.00m
G	Brazil	18	Gabriel Jesus	Gabriel Jesus	Centre-Forward	25	Arsenal FC	€75.00m
G	Brazil	25	Pedro	Pedro	Centre-Forward	25	Clube de Regatas do Flamengo	€20.00m
H	Portugal	22	Diogo Costa	Diogo Costa	Goalkeeper	23	FC Porto	€35.00m
H	Portugal	1	Rui Patrício	Rui Patrício	Goalkeeper	34	AS Roma	€5.00m
H	Portugal	24	António Silva	António Silva	Centre-Back	19	SL Benfica	€15.00m
H	Portugal	19	Nuno Mendes	Nuno Mendes	Left-Back	20	Paris Saint-Germain	€60.00m
H	Portugal	20	João Cancelo	João Cancelo	Right-Back	28	Manchester City	€70.00m
H	Portugal	18	Rúben Neves	Rúben Neves	Defensive Midfield	25	Wolverhampton Wanderers	€40.00m
H	Portugal	14	William Carvalho	William Carvalho	Defensive Midfield	30	Real Betis Balompié	€16.00m
H	Portugal	16	Vitinha	Vitinha	Central Midfield	22	Paris Saint-Germain	€45.00m
H	Portugal	25	Otávio	Otávio	Right Midfield	27	FC Porto	€30.00m
H	Portugal	8	Bruno Fernandes	Bruno Fernandes	Attacking Midfield	28	Manchester United	€75.00m
H	Portugal	15	Rafael Leão	Rafael Leão	Left Winger	23	AC Milan	€85.00m
H	Portugal	11	João Félix	João Félix	Second Striker	23	Atlético de Madrid	€50.00m
H	Portugal	26	Gonçalo Ramos	Gonçalo Ramos	Centre-Forward	21	SL Benfica	€24.00m
H	Portugal	22	Diogo Costa	Diogo Costa	Goalkeeper	23	FC Porto	€35.00m
H	Portugal	12	José Sá	José Sá	Goalkeeper	29	Wolverhampton Wanderers	€18.00m
H	Portugal	4	Rúben Dias	Rúben Dias	Centre-Back	25	Manchester City	€75.00m
H	Portugal	3	Pepe	Pepe	Centre-Back	39	FC Porto	€1.00m
H	Portugal	5	Raphaël Guerreiro	Raphaël Guerreiro	Left-Back	28	Borussia Dortmund	€20.00m
H	Portugal	2	Diogo Dalot	Diogo Dalot	Right-Back	23	Manchester United	€32.00m
H	Portugal	6	João Palhinha	João Palhinha	Defensive Midfield	27	Fulham FC	€28.00m
H	Portugal	13	Danilo Pereira	Danilo Pereira	Defensive Midfield	31	Paris Saint-Germain	€12.00m
H	Portugal	23	Matheus Nunes	Matheus Nunes	Central Midfield	24	Wolverhampton Wanderers	€45.00m
H	Portugal	10	Bernardo Silva	Bernardo Silva	Attacking Midfield	28	Manchester City	€80.00m
H	Portugal	17	João Mário	João Mário	Attacking Midfield	29	SL Benfica	€12.00m
H	Portugal	21	Ricardo Horta	Ricardo Horta	Left Winger	28	SC Braga	€20.00m
H	Portugal	9	André Silva	André Silva	Centre-Forward	27	RB Leipzig	€24.00m
H	Portugal	7	Cristiano Ronaldo	Cristiano Ronaldo	Centre-Forward	37	Manchester United	€20.00m
H	Ghana	1	Lawrence Ati Zigi	Lawrence Ati Zigi	Goalkeeper	25	FC St. Gallen 1879	€2.50m
H	Ghana	12	Ibrahim Danlad	Ibrahim Danlad	Goalkeeper	19	Asante Kotoko SC	€150k
H	Ghana	18	Daniel Amartey	Daniel Amartey	Centre-Back	27	Leicester City	€15.00m
H	Ghana	15	Joseph Aidoo	Joseph Aidoo	Centre-Back	27	Celta de Vigo	€7.00m
H	Ghana	14	Gideon Mensah	Gideon Mensah	Left-Back	24	AJ Auxerre	€2.00m
H	Ghana	2	Tariq Lamptey	Tariq Lamptey	Right-Back	22	Brighton &amp; Hove Albion	€15.00m
H	Ghana	5	Thomas Partey	Thomas Partey	Defensive Midfield	29	Arsenal FC	€38.00m
H	Ghana	6	Elisha Owusu	Elisha Owusu	Defensive Midfield	25	KAA Gent	€2.50m
H	Ghana	8	Daniel-Kofi Kyereh	Daniel-Kofi Kyereh	Attacking Midfield	26	SC Freiburg	€8.00m
H	Ghana	10	André Ayew	André Ayew	Left Winger	32	Al-Sadd SC	€2.20m
H	Ghana	24	Kamal Sowah	Kamal Sowah	Right Winger	22	Club Brugge KV	€6.00m
H	Ghana	7	Issahaku Fatawu	Issahaku Fatawu	Right Winger	18	Sporting CP	€3.00m
H	Ghana	9	Jordan Ayew	Jordan Ayew	Centre-Forward	31	Crystal Palace	€6.00m
H	Ghana	1	Lawrence Ati Zigi	Lawrence Ati Zigi	Goalkeeper	25	FC St. Gallen 1879	€2.50m
H	Ghana	16	Abdul Nurudeen	Abdul Nurudeen	Goalkeeper	23	KAS Eupen	€400k
H	Ghana	4	Mohammed Salisu	Mohammed Salisu	Centre-Back	23	Southampton FC	€18.00m
H	Ghana	23	Alexander Djiku	Alexander Djiku	Centre-Back	28	RC Strasbourg Alsace	€8.00m
H	Ghana	26	Alidu Seidu	Alidu Seidu	Centre-Back	22	Clermont Foot 63	€4.50m
H	Ghana	17	Abdul-Rahman Baba	Abdul-Rahman Baba	Left-Back	28	Reading FC	€1.80m
H	Ghana	3	Denis Odoi	Denis Odoi	Right-Back	34	Club Brugge KV	€600k
H	Ghana	21	Salis Abdul Samed	Salis Abdul Samed	Defensive Midfield	22	RC Lens	€10.00m
H	Ghana	20	Mohammed Kudus	Mohammed Kudus	Attacking Midfield	22	Ajax Amsterdam	€15.00m
H	Ghana	22	Kamaldeen Sulemana	Kamaldeen Sulemana	Left Winger	20	Stade Rennais FC	€18.00m
H	Ghana	13	Daniel Barnieh	Daniel Barnieh	Left Winger	21	Hearts of Oak	€250k
H	Ghana	11	Osman Bukari	Osman Bukari	Right Winger	23	Red Star Belgrade	€5.00m
H	Ghana	19	Iñaki Williams	Iñaki Williams	Centre-Forward	28	Athletic Bilbao	€25.00m
H	Ghana	25	Antoine Semenyo	Antoine Semenyo	Centre-Forward	22	Bristol City	€3.00m
H	Uruguay	23	Sergio Rochet	Sergio Rochet	Goalkeeper	29	Club Nacional	€4.00m
H	Uruguay	12	Sebastián Sosa	Sebastián Sosa	Goalkeeper	36	CA Independiente	€800k
H	Uruguay	2	José María Giménez	José María Giménez	Centre-Back	27	Atlético de Madrid	€40.00m
