Grupo	Seleccion	Dorsal	Foto	Nombre	Posicion	Edad	Club	Valoracion
A	Senegal	11	Formose Mendy	Formose Mendy	Centre-Back	21	Amiens SC	€2.50m
A	Senegal	2	Ismail Jakobs	Ismail Jakobs	Left-Back	23	AS Monaco	€7.00m
A	Senegal	22	Fodé Ballo-Touré	Fodé Ballo-Touré	Left-Back	25	AC Milan	€3.50m
A	Senegal	7	Youssouf Sabaly	Youssouf Sabaly	Right-Back	29	Real Betis Balompié	€4.00m
A	Senegal	13	Pape Gueye	Pape Gueye	Defensive Midfield	23	Olympique Marseille	€10.00m
A	Senegal	6	Nampalys Mendy	Nampalys Mendy	Defensive Midfield	30	Leicester City	€3.50m
A	Senegal	24	Mamadou Loum	Mamadou Loum	Defensive Midfield	25	Reading FC	€3.50m
A	Senegal	8	Cheikhou Kouyaté	Cheikhou Kouyaté	Defensive Midfield	32	Nottingham Forest	€3.00m
A	Senegal	17	Pape Matar Sarr	Pape Matar Sarr	Central Midfield	20	Tottenham Hotspur	€15.00m
A	Senegal	5	Idrissa Gueye	Idrissa Gueye	Central Midfield	33	Everton FC	€8.00m
A	Senegal	16	Pathé Ciss	Pathé Ciss	Central Midfield	28	Rayo Vallecano	€4.00m
A	Senegal	14	Moustapha Name	Moustapha Name	Central Midfield	27	Pafos FC	€2.00m
A	Senegal	9	Iliman Ndiaye	Iliman Ndiaye	Attacking Midfield	22	Sheffield United	€3.50m
A	Senegal	18	Ismaïla Sarr	Ismaïla Sarr	Right Winger	24	Watford FC	€22.00m
A	Senegal	25	Nicolas Jackson	Nicolas Jackson	Right Winger	21	Villarreal CF	€15.00m
A	Senegal	15	Krépin Diatta	Krépin Diatta	Right Winger	23	AS Monaco	€13.00m
A	Senegal	21	Boulaye Dia	Boulaye Dia	Centre-Forward	26	US Salernitana 1919	€12.00m
A	Senegal	20	Bamba Dieng	Bamba Dieng	Centre-Forward	22	Olympique Marseille	€8.00m
A	Senegal	19	Famara Diédhiou	Famara Diédhiou	Centre-Forward	29	Alanyaspor	€3.00m`
B	Inglaterra	23	Aaron Ramsdale	Aaron Ramsdale	Goalkeeper	24	Arsenal FC	€30.00m
B	Inglaterra	1	Jordan Pickford	Jordan Pickford	Goalkeeper	28	Everton FC	€28.00m
B	Inglaterra	13	Nick Pope	Nick Pope	Goalkeeper	30	Newcastle United	€18.00m
B	Inglaterra	21	Ben White	Ben White	Centre-Back	25	Arsenal FC	€45.00m
